prompt_name,idx,actual,predicted,explanation,json_valid,raw
Prompt_2_Anchored,0,4,4.0,"Positive tone, praises food, drinks, service, and patio; only minor drawback is late-night emptiness.",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praises food, drinks, service, and patio; only minor drawback is late-night emptiness.""}"
Prompt_2_Anchored,1,5,,,False,Max retries exceeded
Prompt_2_Anchored,2,3,,,False,Max retries exceeded
Prompt_2_Anchored,3,1,,,False,Max retries exceeded
Prompt_2_Anchored,4,5,,,False,Max retries exceeded
Prompt_2_Anchored,5,4,,,False,Max retries exceeded
Prompt_2_Anchored,6,4,,,False,Max retries exceeded
Prompt_2_Anchored,7,4,,,False,Max retries exceeded
Prompt_2_Anchored,8,5,,,False,Max retries exceeded
Prompt_2_Anchored,9,1,,,False,Max retries exceeded
Prompt_2_Anchored,10,4,4.0,"Positive tone, praised food and service, no complaints mentioned",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praised food and service, no complaints mentioned""}"
Prompt_2_Anchored,11,5,,,False,Max retries exceeded
Prompt_2_Anchored,12,3,,,False,Max retries exceeded
Prompt_2_Anchored,13,4,,,False,Max retries exceeded
Prompt_2_Anchored,14,5,5.0,"Enthusiastic gratitude, strong recommendation to refer, no complaints",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic gratitude, strong recommendation to refer, no complaints""}"
Prompt_2_Anchored,15,2,,,False,Max retries exceeded
Prompt_2_Anchored,16,4,,,False,Max retries exceeded
Prompt_2_Anchored,17,4,4.0,"Positive tone, helpful tip about the petite burger option, no complaints mentioned",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, helpful tip about the petite burger option, no complaints mentioned""}"
Prompt_2_Anchored,18,5,5.0,Enthusiastic praise with exclamation marks and 'awesome' indicates top-tier satisfaction,True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise with exclamation marks and 'awesome' indicates top-tier satisfaction""}"
Prompt_2_Anchored,19,5,,,False,Max retries exceeded
Prompt_2_Anchored,20,5,,,False,Max retries exceeded
Prompt_2_Anchored,21,5,,,False,Max retries exceeded
Prompt_2_Anchored,22,1,,,False,Max retries exceeded
Prompt_2_Anchored,23,4,,,False,Max retries exceeded
Prompt_2_Anchored,24,4,,,False,Max retries exceeded
Prompt_2_Anchored,25,4,,,False,Max retries exceeded
Prompt_2_Anchored,26,1,2.0,Single complaint about high prices indicates disappointment but lacks broader anger or praise.,True,"{""predicted_stars"": 2, ""explanation"": ""Single complaint about high prices indicates disappointment but lacks broader anger or praise.""}"
Prompt_2_Anchored,27,4,,,False,Max retries exceeded
