prompt_name,idx,actual,predicted,explanation,json_valid,raw
Prompt_1_FewShot,0,4,4.0,"Positive tone, praise for food, cocktails, service, and atmosphere; only minor drawback is late-night emptiness, but overall strong endorsement and intent to return implied",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praise for food, cocktails, service, and atmosphere; only minor drawback is late-night emptiness, but overall strong endorsement and intent to return implied""}"
Prompt_1_FewShot,1,5,5.0,"High praise from a regional expert, superlative 'best she's had outside of Louisiana' implies exceptional quality",True,"{""predicted_stars"": 5, ""explanation"": ""High praise from a regional expert, superlative 'best she's had outside of Louisiana' implies exceptional quality""}"
Prompt_1_FewShot,2,3,4.0,"Positive recurring visits, praise for food and drink, minor downgrade for 'typical strip mall' setting",True,"{""predicted_stars"": 4, ""explanation"": ""Positive recurring visits, praise for food and drink, minor downgrade for 'typical strip mall' setting""}"
Prompt_1_FewShot,3,1,1.0,"Extreme dissatisfaction, accusations of dishonesty or incompetence, explicit decision to abandon the brand, use of capitalized words for emphasis",True,"{""predicted_stars"": 1, ""explanation"": ""Extreme dissatisfaction, accusations of dishonesty or incompetence, explicit decision to abandon the brand, use of capitalized words for emphasis""}"
Prompt_1_FewShot,4,5,5.0,"Enthusiastic praise ('Love this place!'), repeat visits, specific dish compliment ('amazing'), and explicit recommendation ('Must try!')",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('Love this place!'), repeat visits, specific dish compliment ('amazing'), and explicit recommendation ('Must try!')""}"
Prompt_1_FewShot,5,4,4.0,"Overall positive tone, lists several pros (location value, free parking, cleanliness, spacious rooms, free breakfast), only minor cons (7-block walk, slight neighbor noise), explicit willingness to return",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone, lists several pros (location value, free parking, cleanliness, spacious rooms, free breakfast), only minor cons (7-block walk, slight neighbor noise), explicit willingness to return""}"
Prompt_1_FewShot,6,4,4.0,"Strong praise for food quality, late-night availability, and value; only minor service inconsistency mentioned without major complaint",True,"{""predicted_stars"": 4, ""explanation"": ""Strong praise for food quality, late-night availability, and value; only minor service inconsistency mentioned without major complaint""}"
Prompt_1_FewShot,7,4,5.0,"Enthusiastic praise with superlatives ('awesome', 'awesomer') and multiple exclamation marks indicating strong positive sentiment",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise with superlatives ('awesome', 'awesomer') and multiple exclamation marks indicating strong positive sentiment""}"
Prompt_1_FewShot,8,5,5.0,"Enthusiastic praise ('favorite places', 'awesome', 'very generous portions'), positive descriptors for both food and atmosphere, intent to frequent",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('favorite places', 'awesome', 'very generous portions'), positive descriptors for both food and atmosphere, intent to frequent""}"
Prompt_1_FewShot,9,1,1.0,"Explicit 1-star rating given, repeated complaint about skimpy portions, disappointment after giving second chance, explicit statement of not returning",True,"{""predicted_stars"": 1, ""explanation"": ""Explicit 1-star rating given, repeated complaint about skimpy portions, disappointment after giving second chance, explicit statement of not returning""}"
Prompt_1_FewShot,10,4,4.0,"Positive tone, praise for handling large group, specific dish compliments, and value appreciation, but lacks the superlatives and enthusiasm typical of 5-star reviews",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praise for handling large group, specific dish compliments, and value appreciation, but lacks the superlatives and enthusiasm typical of 5-star reviews""}"
Prompt_1_FewShot,11,5,5.0,"Repeated enthusiastic praise ('great' used multiple times), positive comments on staff, atmosphere, prices, and overall experience, explicit recommendation implied",True,"{""predicted_stars"": 5, ""explanation"": ""Repeated enthusiastic praise ('great' used multiple times), positive comments on staff, atmosphere, prices, and overall experience, explicit recommendation implied""}"
Prompt_1_FewShot,12,3,5.0,"Enthusiastic exclamation referencing a premium brand, implying strong satisfaction without any negative comments",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic exclamation referencing a premium brand, implying strong satisfaction without any negative comments""}"
Prompt_1_FewShot,13,4,4.0,"Overall positive tone with detailed praise for selection, hours, prices, and convenience; only minor complaint about deli service, still recommends the store",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone with detailed praise for selection, hours, prices, and convenience; only minor complaint about deli service, still recommends the store""}"
Prompt_1_FewShot,14,5,5.0,"Glowing praise for exceptional, above-and-beyond service, explicit gratitude, and intent to keep referring",True,"{""predicted_stars"": 5, ""explanation"": ""Glowing praise for exceptional, above-and-beyond service, explicit gratitude, and intent to keep referring""}"
Prompt_1_FewShot,15,2,3.0,"Mixed sentiment—burger described as 'good' but 'not great,' sides and drinks called 'average' and 'overpriced,' overall tone lukewarm with no strong praise or major complaints",True,"{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment—burger described as 'good' but 'not great,' sides and drinks called 'average' and 'overpriced,' overall tone lukewarm with no strong praise or major complaints""}"
Prompt_1_FewShot,16,4,2.0,"Overall tone is negative—feels uncomfortable, criticizes the registry department as small, points out an error, and explicitly says she was 'not so impressed.' While she concedes the quality is 'pretty amazing,' the dissatisfaction with the experience outweighs the mild praise.",True,"{""predicted_stars"": 2, ""explanation"": ""Overall tone is negative—feels uncomfortable, criticizes the registry department as small, points out an error, and explicitly says she was 'not so impressed.' While she concedes the quality is 'pretty amazing,' the dissatisfaction with the experience outweighs the mild praise.""}"
Prompt_1_FewShot,17,4,4.0,"Positive tone, helpful tip for calorie-conscious diners, no complaints mentioned",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, helpful tip for calorie-conscious diners, no complaints mentioned""}"
Prompt_1_FewShot,18,5,5.0,"Enthusiastic praise with exclamation marks, specific positive mentions of both pizza and appetizer, no complaints",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise with exclamation marks, specific positive mentions of both pizza and appetizer, no complaints""}"
Prompt_1_FewShot,19,5,4.0,"Overall positive tone with praise for convenience and speed, minor criticism of limited airline and snack options but framed humorously rather than as major complaints",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone with praise for convenience and speed, minor criticism of limited airline and snack options but framed humorously rather than as major complaints""}"
Prompt_1_FewShot,20,5,4.0,"Strong positive sentiment about food quality ('fantastic burger'), appreciation for improvement ('less salty fries'), and enthusiasm for returning. Minor criticisms about packaging and drink sizes prevent a perfect score.",True,"{""predicted_stars"": 4, ""explanation"": ""Strong positive sentiment about food quality ('fantastic burger'), appreciation for improvement ('less salty fries'), and enthusiasm for returning. Minor criticisms about packaging and drink sizes prevent a perfect score.""}"
Prompt_1_FewShot,21,5,5.0,"Consistently positive language ('really great', 'fantastic value', 'a gem'), repeated praise for food quality and value, intent to return implied by 20 visits, explicit recommendation despite minor ambiance drawbacks",True,"{""predicted_stars"": 5, ""explanation"": ""Consistently positive language ('really great', 'fantastic value', 'a gem'), repeated praise for food quality and value, intent to return implied by 20 visits, explicit recommendation despite minor ambiance drawbacks""}"
Prompt_1_FewShot,22,1,1.0,"Multiple serious complaints: rude staff, hidden/overpriced fees, uncomfortable heat, broken equipment, and explicit statement of not returning",True,"{""predicted_stars"": 1, ""explanation"": ""Multiple serious complaints: rude staff, hidden/overpriced fees, uncomfortable heat, broken equipment, and explicit statement of not returning""}"
Prompt_1_FewShot,23,4,4.0,"Multiple positives: helpful staff, friendly bell staff, clean updated room, good banquet food, excellent breakfast, fantastic pool. Minor negatives: room noise, some salty dishes, 'good not great' food. Overall strong praise outweighs small issues.",True,"{""predicted_stars"": 4, ""explanation"": ""Multiple positives: helpful staff, friendly bell staff, clean updated room, good banquet food, excellent breakfast, fantastic pool. Minor negatives: room noise, some salty dishes, 'good not great' food. Overall strong praise outweighs small issues.""}"
Prompt_1_FewShot,24,4,5.0,"Enthusiastic praise throughout, repeated mentions of freshness and quality, intent to return, gratitude expressed",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise throughout, repeated mentions of freshness and quality, intent to return, gratitude expressed""}"
Prompt_1_FewShot,25,4,4.0,"Positive tone, praise for food quality ('perfectly cooked pork', 'refreshing horchata'), satisfaction with meal, and value mention ('without breaking your wallet'), but lacks the superlative enthusiasm typical of 5-star reviews",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praise for food quality ('perfectly cooked pork', 'refreshing horchata'), satisfaction with meal, and value mention ('without breaking your wallet'), but lacks the superlative enthusiasm typical of 5-star reviews""}"
Prompt_1_FewShot,26,1,2.0,"Single complaint about high prices, no positive remarks, implies dissatisfaction",True,"{""predicted_stars"": 2, ""explanation"": ""Single complaint about high prices, no positive remarks, implies dissatisfaction""}"
Prompt_1_FewShot,27,4,4.0,"Overall positive tone, repeated visits, praise for value (2 meals for $13.99), food quality ('very good'), and service, with only minor pricing quibbles on drinks",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone, repeated visits, praise for value (2 meals for $13.99), food quality ('very good'), and service, with only minor pricing quibbles on drinks""}"
Prompt_1_FewShot,28,2,2.0,"Multiple negatives (equipment broken, odd staff, high prices) outweigh minor positives (short lines, nice garden), capped by dismissive 'Meh'",True,"{""predicted_stars"": 2, ""explanation"": ""Multiple negatives (equipment broken, odd staff, high prices) outweigh minor positives (short lines, nice garden), capped by dismissive 'Meh'""}"
Prompt_1_FewShot,29,2,2.0,"Overwhelmingly negative service experience with detailed timeline of failures, only minor praise for one dish, explicit statement of not returning",True,"{""predicted_stars"": 2, ""explanation"": ""Overwhelmingly negative service experience with detailed timeline of failures, only minor praise for one dish, explicit statement of not returning""}"
Prompt_1_FewShot,30,1,1.0,"Multiple specific food complaints (bland, tasteless, dry, clumpy), explicit declaration of not returning, strong negative closing statement",True,"{""predicted_stars"": 1, ""explanation"": ""Multiple specific food complaints (bland, tasteless, dry, clumpy), explicit declaration of not returning, strong negative closing statement""}"
Prompt_1_FewShot,31,1,2.0,"Frustrated tone, multiple usability issues, no praise for the station, overall negative experience despite mild curiosity",True,"{""predicted_stars"": 2, ""explanation"": ""Frustrated tone, multiple usability issues, no praise for the station, overall negative experience despite mild curiosity""}"
Prompt_1_FewShot,32,3,,,False,Max retries exceeded
Prompt_1_FewShot,33,4,4.0,"Overwhelmingly positive tone with vivid praise for breakfast items, nostalgic affection, and enthusiastic recommendation, tempered only by minor quips about prices and clientele, placing it solidly above average but short of perfect.",True,"{""predicted_stars"": 4, ""explanation"": ""Overwhelmingly positive tone with vivid praise for breakfast items, nostalgic affection, and enthusiastic recommendation, tempered only by minor quips about prices and clientele, placing it solidly above average but short of perfect.""}"
Prompt_1_FewShot,34,5,5.0,"Glowing praise for cleanliness, efficiency, friendly staff, fresh food, and pride in work; explicit intent to return and positive comparison to other locations",True,"{""predicted_stars"": 5, ""explanation"": ""Glowing praise for cleanliness, efficiency, friendly staff, fresh food, and pride in work; explicit intent to return and positive comparison to other locations""}"
Prompt_1_FewShot,35,5,,,False,Max retries exceeded
Prompt_1_FewShot,36,5,,,False,Max retries exceeded
Prompt_1_FewShot,37,5,,,False,Max retries exceeded
Prompt_1_FewShot,38,4,,,False,Max retries exceeded
Prompt_1_FewShot,39,2,1.0,Strong dissatisfaction expressed through monetary waste and 'never again',True,"{""predicted_stars"": 1, ""explanation"": ""Strong dissatisfaction expressed through monetary waste and 'never again'""}"
Prompt_1_FewShot,40,3,,,False,Max retries exceeded
Prompt_1_FewShot,41,1,,,False,Max retries exceeded
Prompt_1_FewShot,42,1,,,False,Max retries exceeded
Prompt_1_FewShot,43,3,,,False,Max retries exceeded
Prompt_1_FewShot,44,4,,,False,Max retries exceeded
Prompt_1_FewShot,45,4,,,False,Max retries exceeded
Prompt_1_FewShot,46,4,,,False,Max retries exceeded
Prompt_1_FewShot,47,5,,,False,Max retries exceeded
Prompt_1_FewShot,48,4,5.0,"Glowing praise for food quality ('divine', 'moist, tender', 'pleasantly savory'), enthusiasm about portion size ('HUGE'), explicit satisfaction ('Very glad that I did'), and intent to continue patronizing implied by detailed experience",True,"{""predicted_stars"": 5, ""explanation"": ""Glowing praise for food quality ('divine', 'moist, tender', 'pleasantly savory'), enthusiasm about portion size ('HUGE'), explicit satisfaction ('Very glad that I did'), and intent to continue patronizing implied by detailed experience""}"
Prompt_1_FewShot,49,1,,,False,Max retries exceeded
Prompt_1_FewShot,50,1,,,False,Max retries exceeded
Prompt_1_FewShot,51,3,,,False,Max retries exceeded
Prompt_1_FewShot,52,4,,,False,Max retries exceeded
Prompt_1_FewShot,53,4,,,False,Max retries exceeded
Prompt_1_FewShot,54,4,,,False,Max retries exceeded
Prompt_1_FewShot,55,3,2.0,"Positive aspects (layout, view, supporting local) are outweighed by strong negatives: high prices, poor drink selection, uncertainty about concept, and explicit statement that changes are needed for a return visit",True,"{""predicted_stars"": 2, ""explanation"": ""Positive aspects (layout, view, supporting local) are outweighed by strong negatives: high prices, poor drink selection, uncertainty about concept, and explicit statement that changes are needed for a return visit""}"
Prompt_1_FewShot,56,5,,,False,Max retries exceeded
Prompt_1_FewShot,57,5,5.0,"Enthusiastic praise ('in love', 'super delicious'), positive value perception ('inexpensive'), specific enjoyment of toppings, and strong intent to return ('Can't wait to go back')",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('in love', 'super delicious'), positive value perception ('inexpensive'), specific enjoyment of toppings, and strong intent to return ('Can't wait to go back')""}"
Prompt_1_FewShot,58,5,5.0,"Repeated praise ('never been disappointed', 'excellent', 'favorite'), loyalty ('tried everything...more than once'), and positive service comments ('friendly and with a smile')",True,"{""predicted_stars"": 5, ""explanation"": ""Repeated praise ('never been disappointed', 'excellent', 'favorite'), loyalty ('tried everything...more than once'), and positive service comments ('friendly and with a smile')""}"
Prompt_1_FewShot,59,1,,,False,Max retries exceeded
Prompt_1_FewShot,60,2,2.0,"Negative experience due to incorrect hours and closed store, inconvenience emphasized, no positive remarks",True,"{""predicted_stars"": 2, ""explanation"": ""Negative experience due to incorrect hours and closed store, inconvenience emphasized, no positive remarks""}"
Prompt_1_FewShot,61,2,2.0,"Multiple specific complaints about food quality, explicit statement of not returning, but not the harshest possible tone",True,"{""predicted_stars"": 2, ""explanation"": ""Multiple specific complaints about food quality, explicit statement of not returning, but not the harshest possible tone""}"
Prompt_1_FewShot,62,4,4.0,"Enthusiastic endorsement for its niche as a dive bar, praises atmosphere, service, and amenities, while acknowledging minor drawbacks like worn facilities and average food",True,"{""predicted_stars"": 4, ""explanation"": ""Enthusiastic endorsement for its niche as a dive bar, praises atmosphere, service, and amenities, while acknowledging minor drawbacks like worn facilities and average food""}"
Prompt_1_FewShot,63,3,2.0,"Tone is mildly negative, criticizes location-specific issues (traffic, parking), implies disappointment with lack of upscale features, and states preference for driving farther to avoid this location",True,"{""predicted_stars"": 2, ""explanation"": ""Tone is mildly negative, criticizes location-specific issues (traffic, parking), implies disappointment with lack of upscale features, and states preference for driving farther to avoid this location""}"
Prompt_1_FewShot,64,4,4.0,"Strong praise for food quality and value, explicit intent to return, but one-star deduction explicitly stated due to dirty dining room conditions",True,"{""predicted_stars"": 4, ""explanation"": ""Strong praise for food quality and value, explicit intent to return, but one-star deduction explicitly stated due to dirty dining room conditions""}"
Prompt_1_FewShot,65,2,2.0,"Overall disappointment despite some positives ('cool concept', 'great crust', 'better than Pizza Hut'). Multiple specific complaints about food quality ('lacking soul', 'too salty/soggy/rich', 'gelato from squeeze tube'). Tone is let-down rather than angry, but clearly unsatisfied.",True,"{""predicted_stars"": 2, ""explanation"": ""Overall disappointment despite some positives ('cool concept', 'great crust', 'better than Pizza Hut'). Multiple specific complaints about food quality ('lacking soul', 'too salty/soggy/rich', 'gelato from squeeze tube'). Tone is let-down rather than angry, but clearly unsatisfied.""}"
Prompt_1_FewShot,66,5,5.0,"Enthusiastic praise ('WOW', 'WONDERFUL!!!!!', 'BEST'), specific dish compliments, intent to return ('Must make this one of our usual stops')",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('WOW', 'WONDERFUL!!!!!', 'BEST'), specific dish compliments, intent to return ('Must make this one of our usual stops')""}"
Prompt_1_FewShot,67,5,5.0,"Enthusiastic praise ('Favorite Pho'), positive food description ('Great, tender meat'), intent to return ('I'll have to try that sometime soon'), friendly tone ('Nom nom', 'See ya there')",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('Favorite Pho'), positive food description ('Great, tender meat'), intent to return ('I'll have to try that sometime soon'), friendly tone ('Nom nom', 'See ya there')""}"
Prompt_1_FewShot,68,2,2.0,"Negative tone, specific complaints about food quality, no positive remarks",True,"{""predicted_stars"": 2, ""explanation"": ""Negative tone, specific complaints about food quality, no positive remarks""}"
Prompt_1_FewShot,69,4,5.0,"Overwhelmingly positive tone, repeated praise ('great time', 'so cool', 'tasty', 'awesome'), intent to return, only minor criticism about calamari preference not quality",True,"{""predicted_stars"": 5, ""explanation"": ""Overwhelmingly positive tone, repeated praise ('great time', 'so cool', 'tasty', 'awesome'), intent to return, only minor criticism about calamari preference not quality""}"
Prompt_1_FewShot,70,3,3.0,"Explicitly states 3 stars, mixed sentiment—praises the veggie sandwich but criticizes slow service and crowds, provides workarounds rather than overall praise or complaint",True,"{""predicted_stars"": 3, ""explanation"": ""Explicitly states 3 stars, mixed sentiment—praises the veggie sandwich but criticizes slow service and crowds, provides workarounds rather than overall praise or complaint""}"
Prompt_1_FewShot,71,2,2.0,"Strong negative sentiment, explicit decline in quality, sarcastic name suggestion indicating disappointment",True,"{""predicted_stars"": 2, ""explanation"": ""Strong negative sentiment, explicit decline in quality, sarcastic name suggestion indicating disappointment""}"
Prompt_1_FewShot,72,5,4.0,"Enthusiastic praise ('doesn't get any better', 'truly unique', 'very good flavoring'), detailed positive description, explicit recommendation, minor drawback noted (small interior) but overall strong endorsement",True,"{""predicted_stars"": 4, ""explanation"": ""Enthusiastic praise ('doesn't get any better', 'truly unique', 'very good flavoring'), detailed positive description, explicit recommendation, minor drawback noted (small interior) but overall strong endorsement""}"
Prompt_1_FewShot,73,4,5.0,"Enthusiastic praise ('great', 'coolest', 'awesome', 'love'), personal affection, multiple specific positives, intent to return implied",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('great', 'coolest', 'awesome', 'love'), personal affection, multiple specific positives, intent to return implied""}"
Prompt_1_FewShot,74,3,2.0,"Positive about atmosphere and service, but strong dissatisfaction with value ('not worth the price') and explicit statement of not returning",True,"{""predicted_stars"": 2, ""explanation"": ""Positive about atmosphere and service, but strong dissatisfaction with value ('not worth the price') and explicit statement of not returning""}"
Prompt_1_FewShot,75,5,5.0,"Enthusiastic praise ('terrific experience'), highlights ease and community benefit, strong positive sentiment ('Such great people')",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('terrific experience'), highlights ease and community benefit, strong positive sentiment ('Such great people')""}"
Prompt_1_FewShot,76,2,2.0,"Repeated billing problems, reluctance to visit, only convenience keeps them coming, warning tone",True,"{""predicted_stars"": 2, ""explanation"": ""Repeated billing problems, reluctance to visit, only convenience keeps them coming, warning tone""}"
Prompt_1_FewShot,77,5,5.0,"Enthusiastic praise ('love love'), strong positive adjectives ('amazing', 'cute', 'artsy'), no complaints",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('love love'), strong positive adjectives ('amazing', 'cute', 'artsy'), no complaints""}"
Prompt_1_FewShot,78,3,4.0,"Overall positive tone, praise for atmosphere, salsa bar, mole taco, calabacitas, and partner's pork taco; only one item (carne asada) criticized, plus explicit intent to return",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone, praise for atmosphere, salsa bar, mole taco, calabacitas, and partner's pork taco; only one item (carne asada) criticized, plus explicit intent to return""}"
Prompt_1_FewShot,79,5,5.0,"Multiple dishes described as 'amazing', detailed praise for flavors and presentation, excellent service noted, and appreciation for drink variety all indicate a top-tier experience",True,"{""predicted_stars"": 5, ""explanation"": ""Multiple dishes described as 'amazing', detailed praise for flavors and presentation, excellent service noted, and appreciation for drink variety all indicate a top-tier experience""}"
Prompt_1_FewShot,80,4,5.0,"Enthusiastic praise ('Yum!', 'Delicious', 'wonderful', 'divine'), positive descriptors for food and atmosphere, no complaints",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('Yum!', 'Delicious', 'wonderful', 'divine'), positive descriptors for food and atmosphere, no complaints""}"
Prompt_1_FewShot,81,4,4.0,"Positive tone, praise for portion size and friendly staff, minor qualifier 'just good' keeps it from perfect",True,"{""predicted_stars"": 4, ""explanation"": ""Positive tone, praise for portion size and friendly staff, minor qualifier 'just good' keeps it from perfect""}"
Prompt_1_FewShot,82,4,4.0,"Overall positive tone with enthusiasm ('impressed', 'really good', 'fantastic', 'favorite'), intent to return ('next time'), and only minor critiques about soup and spring rolls lacking some flavor/ingredients",True,"{""predicted_stars"": 4, ""explanation"": ""Overall positive tone with enthusiasm ('impressed', 'really good', 'fantastic', 'favorite'), intent to return ('next time'), and only minor critiques about soup and spring rolls lacking some flavor/ingredients""}"
Prompt_1_FewShot,83,4,4.0,"Strongly positive tone, multiple compliments on atmosphere, staff, and coffee, but no 'amazing' or 'best ever' language that would push it to 5 stars",True,"{""predicted_stars"": 4, ""explanation"": ""Strongly positive tone, multiple compliments on atmosphere, staff, and coffee, but no 'amazing' or 'best ever' language that would push it to 5 stars""}"
Prompt_1_FewShot,84,4,,,False,Max retries exceeded
Prompt_1_FewShot,85,5,,,False,Max retries exceeded
Prompt_1_FewShot,86,5,5.0,"Superlative praise ('best barber shop I've ever been to'), contrast with past negative experiences, strong loyalty statement ('hard time looking elsewhere'), and admiration for attention to detail",True,"{""predicted_stars"": 5, ""explanation"": ""Superlative praise ('best barber shop I've ever been to'), contrast with past negative experiences, strong loyalty statement ('hard time looking elsewhere'), and admiration for attention to detail""}"
Prompt_1_FewShot,87,4,,,False,Max retries exceeded
Prompt_1_FewShot,88,4,4.0,"Positive nostalgic comparison to a well-regarded food scene, praise for freshness, no complaints mentioned",True,"{""predicted_stars"": 4, ""explanation"": ""Positive nostalgic comparison to a well-regarded food scene, praise for freshness, no complaints mentioned""}"
Prompt_1_FewShot,89,3,,,False,Max retries exceeded
Prompt_1_FewShot,90,4,,,False,Max retries exceeded
Prompt_1_FewShot,91,3,,,False,Max retries exceeded
Prompt_1_FewShot,92,3,2.0,Dismissing comparison to a casual chain implies disappointment and low value,True,"{""predicted_stars"": 2, ""explanation"": ""Dismissing comparison to a casual chain implies disappointment and low value""}"
Prompt_1_FewShot,93,5,,,False,Max retries exceeded
Prompt_1_FewShot,94,4,,,False,Max retries exceeded
Prompt_1_FewShot,95,5,5.0,"Extremely positive language ('amazing', 'far above expectations', 'huge and delicious'), explicit recommendation, no complaints",True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive language ('amazing', 'far above expectations', 'huge and delicious'), explicit recommendation, no complaints""}"
Prompt_1_FewShot,96,4,,,False,Max retries exceeded
Prompt_1_FewShot,97,4,,,False,Max retries exceeded
Prompt_1_FewShot,98,4,,,False,Max retries exceeded
Prompt_1_FewShot,99,2,,,False,Max retries exceeded
Prompt_1_FewShot,100,4,,,False,Max retries exceeded
Prompt_1_FewShot,101,5,,,False,Max retries exceeded
Prompt_1_FewShot,102,4,,,False,Max retries exceeded
Prompt_1_FewShot,103,4,,,False,Max retries exceeded
Prompt_1_FewShot,104,2,,,False,Max retries exceeded
Prompt_1_FewShot,105,3,3.0,"Strong praise for staff and anime value, but major complaint about discontinued D&D products; balanced positives and negatives land in the middle",True,"{""predicted_stars"": 3, ""explanation"": ""Strong praise for staff and anime value, but major complaint about discontinued D&D products; balanced positives and negatives land in the middle""}"
Prompt_1_FewShot,106,1,1.0,"Overwhelmingly negative tone, insults toward other patrons, explicit complaints about service ('slow indifferent'), food ('mediocre'), and wine ('dishwater'), plus intent to discourage others from visiting.",True,"{""predicted_stars"": 1, ""explanation"": ""Overwhelmingly negative tone, insults toward other patrons, explicit complaints about service ('slow indifferent'), food ('mediocre'), and wine ('dishwater'), plus intent to discourage others from visiting.""}"
Prompt_1_FewShot,107,2,,,False,Max retries exceeded
Prompt_1_FewShot,108,5,5.0,"Enthusiastic praise ('Love this place'), compliments on food quality and variety, positive service comment, and endorsement as a 'great little find'",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('Love this place'), compliments on food quality and variety, positive service comment, and endorsement as a 'great little find'""}"
Prompt_1_FewShot,109,5,,,False,Max retries exceeded
Prompt_1_FewShot,110,4,,,False,Max retries exceeded
Prompt_1_FewShot,111,4,,,False,Max retries exceeded
Prompt_1_FewShot,112,4,,,False,Max retries exceeded
Prompt_1_FewShot,113,3,,,False,Max retries exceeded
Prompt_1_FewShot,114,5,,,False,Max retries exceeded
Prompt_1_FewShot,115,4,,,False,Max retries exceeded
Prompt_1_FewShot,116,3,,,False,Max retries exceeded
Prompt_1_FewShot,117,1,,,False,Max retries exceeded
Prompt_1_FewShot,118,5,5.0,"Repeated enthusiastic praise ('LOVE love LOVE'), long-term loyalty, explicit disappointment about limited locations, detailed favorite items, and glowing staff description ('friendly, perky, and full of sunshine')",True,"{""predicted_stars"": 5, ""explanation"": ""Repeated enthusiastic praise ('LOVE love LOVE'), long-term loyalty, explicit disappointment about limited locations, detailed favorite items, and glowing staff description ('friendly, perky, and full of sunshine')""}"
Prompt_1_FewShot,119,3,,,False,Max retries exceeded
Prompt_1_FewShot,120,1,1.0,"Multiple strong complaints about service, staff competence, wait time, and food quality, plus explicit statement of never returning",True,"{""predicted_stars"": 1, ""explanation"": ""Multiple strong complaints about service, staff competence, wait time, and food quality, plus explicit statement of never returning""}"
Prompt_1_FewShot,121,5,5.0,"Enthusiastic praise ('Amazing', 'best around hands down'), specific menu favorites, positive descriptors for food and staff, strong endorsement",True,"{""predicted_stars"": 5, ""explanation"": ""Enthusiastic praise ('Amazing', 'best around hands down'), specific menu favorites, positive descriptors for food and staff, strong endorsement""}"
Prompt_1_FewShot,122,4,4.0,"Overall very positive experience with praise for prices, sake selection, staff, atmosphere, and intent to recommend; only minor complaint about lack of spice in sushi prevents a 5-star rating",True,"{""predicted_stars"": 4, ""explanation"": ""Overall very positive experience with praise for prices, sake selection, staff, atmosphere, and intent to recommend; only minor complaint about lack of spice in sushi prevents a 5-star rating""}"
